split,round,acc_mean,acc_std
counter_quote_nh,0,0.34508670520231216,0.06893169616615187
counter_quote_nh,1,0.7398843930635837,0.09536696403995534
counter_quote_nh,2,0.3901734104046243,0.1679138518583124
counter_quote_nh,3,0.6306358381502891,0.0875278889507866
counter_quote_nh,4,0.7462427745664739,0.11053770389369842
counter_ref_nh,0,0.275177304964539,0.06704284991827787
counter_ref_nh,1,0.6893617021276596,0.07293594401238264
counter_ref_nh,2,0.5716312056737589,0.14231128693542136
counter_ref_nh,3,0.721276595744681,0.08841386326102711
counter_ref_nh,4,0.8411347517730496,0.06811465080024377
derog_dehum_h,0,0.9292857142857143,0.036344440666310145
derog_dehum_h,1,0.9685714285714285,0.04440077219405732
derog_dehum_h,2,0.9964285714285713,0.01071428571428571
derog_dehum_h,3,1.0,0.0
derog_dehum_h,4,0.9928571428571429,0.009035079029052507
derog_impl_h,0,0.6514285714285715,0.08186599303939658
derog_impl_h,1,0.9721428571428572,0.025040783061368747
derog_impl_h,2,0.9328571428571427,0.045758906794419914
derog_impl_h,3,0.9149999999999998,0.041459348174089874
derog_impl_h,4,0.8585714285714285,0.07517326923955926
derog_neg_attrib_h,0,0.9257142857142856,0.04587026959429236
derog_neg_attrib_h,1,0.9735714285714288,0.029632097875273634
derog_neg_attrib_h,2,0.9971428571428571,0.0065465367070797805
derog_neg_attrib_h,3,0.9992857142857143,0.002142857142857135
derog_neg_attrib_h,4,0.9942857142857143,0.013093073414159528
derog_neg_emote_h,0,0.8042857142857143,0.08446711713768278
derog_neg_emote_h,1,0.957857142857143,0.04071428571428571
derog_neg_emote_h,2,0.9771428571428572,0.025911938781738652
derog_neg_emote_h,3,0.9549999999999998,0.02433817862485833
derog_neg_emote_h,4,0.9407142857142856,0.03586397203038056
ident_neutral_nh,0,0.7214285714285713,0.13903393786430318
ident_neutral_nh,1,0.29047619047619044,0.08071861673073727
ident_neutral_nh,2,0.9571428571428571,0.04958888683115336
ident_neutral_nh,3,0.9261904761904761,0.05623731345414881
ident_neutral_nh,4,0.98015873015873,0.03445760848586098
ident_pos_nh,0,0.5126984126984128,0.12337122255125742
ident_pos_nh,1,0.01111111111111111,0.017136650519261002
ident_pos_nh,2,0.9164021164021163,0.03259877629788224
ident_pos_nh,3,0.7957671957671957,0.06256823491680204
ident_pos_nh,4,0.9523809523809523,0.013797253767624643
